# x_m, y_m, w_tr_left_m, w_tr_right_m
2.996536792032556740e+00,1.170631295537968741e+00,5.999999999999999778e-01,5.999999999999999778e-01
3.011794704847685189e+00,1.150859144463169725e+00,5.999999999999999778e-01,5.999999999999999778e-01
3.026791407235236431e+00,1.130888146012967388e+00,5.999999999999999778e-01,5.999999999999999778e-01
3.041524308039789126e+00,1.110721750810007791e+00,5.999999999999999778e-01,5.999999999999999778e-01
3.055990861686004756e+00,1.090363443237915453e+00,5.999999999999999778e-01,5.999999999999999778e-01
3.070188568618454017e+00,1.069816740839257374e+00,5.999999999999999778e-01,5.999999999999999778e-01
3.084114975733492692e+00,1.049085193707772756e+00,5.999999999999999778e-01,5.999999999999999778e-01
3.097767676803115933e+00,1.028172383874987217e+00,5.999999999999999778e-01,5.999999999999999778e-01
3.111144312890707919e+00,1.007081924691297425e+00,5.999999999999999778e-01,5.999999999999999778e-01
3.124242572758625158e+00,9.858174602016553933e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.137060193267533492e+00,9.643826645159402355e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.149594959767440194e+00,9.427812411741426368e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.161844706480341216e+00,9.210169225064581688e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.173807316874431628e+00,8.990934689884112485e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.185480724029800204e+00,8.770146685911133222e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.196862910995557971e+00,8.547843361267688511e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.207951911138328782e+00,8.324063125895490023e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.218745808482048609e+00,8.098844644919350744e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.229242738039010518e+00,7.872226831966586680e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.239440886132098907e+00,7.644248842443438496e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.249338490708163718e+00,7.414950066769729897e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.258933841642466245e+00,7.184370123572944022e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.268225281034160545e+00,6.952548852842840299e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.277211203492747860e+00,6.719526309047821888e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.285890056415456506e+00,6.485342754214282746e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.294260340255505959e+00,6.250038650970043408e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.302320608781200484e+00,6.013654655553166695e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.310069469325808811e+00,5.776231610787300186e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.317505583028195648e+00,5.537810539024772272e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.324627665064149085e+00,5.298432635058702989e-01,5.999999999999999778e-01,5.999999999999999778e-01
3.331434484868376344e+00,5.058139259005276500e-01,5.999999999999999778e-01,5.999999999999999778e-01
